freqVals,accVals,smoothed_accVals
65.0,11069.1,9963.985409652078
66.0,10883.8,10379.52518237935
67.0,11225.185185185184,10689.72280142697
68.0,11081.875,10572.606459435627
69.0,10195.785714285714,10124.128254307421
70.0,8979.892857142857,9574.923492402659
71.0,8378.23076923077,8833.294143356643
72.0,7588.571428571428,7984.077797202797
73.0,6775.409090909091,7051.590784215783
74.0,5986.576923076923,6376.053085803086
75.0,4600.863636363636,5658.57523032523
76.0,4926.666666666667,5062.181381118881
77.0,4073.3636363636365,4575.069721039829
78.0,4010.2083333333335,4078.3902338603425
79.0,3852.7391304347825,3808.8675065876155
80.0,3006.5,3421.888339920948
81.0,2983.7272727272725,3170.967733860342
82.0,2604.7916666666665,2937.273920729029
83.0,2567.84,2665.51977994228
84.0,2608.0454545454545,2595.487171246628
85.0,2222.214285714286,2563.056435315892
86.0,2586.304347826087,2591.216157538114
87.0,2789.1428571428573,2625.636157538114
88.0,2773.75,2629.0685817805384
89.0,2774.36,2692.5328674948237
90.0,2628.64,2749.2581845238096
91.0,2603.0,2741.9788194444445
92.0,2926.65625,2740.4627938034187
93.0,2745.4666666666667,2713.7978555318136
94.0,2764.653846153846,2490.816188865147
95.0,2614.3703703703704,2131.5961888651473
96.0,1290.75,1726.036196581197
97.0,447.68,1299.6111965811967
98.0,493.2962962962963,912.7522222222223
99.0,186.91666666666666,559.3268574635241
100.0,443.5,429.80503206669874
101.0,493.8181818181818,431.55280984447654
102.0,513.6190476190476,429.7382756132756
103.0,458.1666666666667,472.5993867243867
104.0,482.40909090909093,470.74041236541234
105.0,444.0833333333333,455.05543761793757
106.0,432.34615384615387,459.62873360299835
107.0,399.7083333333333,448.1589268397133
108.0,541.0588235294117,434.03013896092534
109.0,389.3478260869565,417.20958340536987
110.0,397.6363636363636,398.633372579159
111.0,343.16,380.16916317744966
112.0,320.8888888888889,336.209359255881
113.0,288.9230769230769,307.77138824138825
114.0,277.3,281.6653276353276
115.0,218.72,260.31290339290337
116.0,241.0,243.57779872301612
117.0,215.04545454545453,230.4921343873518
118.0,220.47826086956522,220.06118200639943
119.0,210.4090909090909,217.56816613338356
120.0,214.71428571428572,210.67422673944415
121.0,203.76190476190476,206.87498431520171
122.0,199.63636363636363,202.10479797979795
123.0,192.25,200.46644072301967
124.0,191.85714285714286,196.80771056428952
125.0,200.57894736842104,198.59739310397205
126.0,192.76190476190476,197.16677109440266
127.0,214.5,196.34440267335003
128.0,191.05263157894737,198.29487886382626
129.0,187.31578947368422,192.07140350877194
130.0,203.56,188.0158479532164
131.0,163.23809523809524,180.1408479532164
132.0,168.42857142857142,176.06540935672516
133.0,167.25,171.45974747474747
134.0,166.6,168.41271043771044
135.0,159.6818181818182,170.6415464165464
136.0,185.27777777777777,169.88493265993267
137.0,176.61111111111111,171.20993265993266
138.0,163.88888888888889,170.8354228560111
139.0,175.2,168.58011982570804
140.0,164.35294117647058,165.06507352941176
141.0,146.15,160.58226929660754
142.0,164.1875,156.55692816600325
143.0,149.71428571428572,150.93629324536832
144.0,139.73684210526315,145.8608030492899
145.0,141.47619047619048,145.46325402968205
146.0,133.9,134.39867069634872
147.0,143.76470588235293,129.69073418841222
148.0,97.8,128.434593837535
149.0,121.46666666666667,127.57986643932935
150.0,132.2,125.98542199488492
151.0,136.34782608695653,123.5246376811594
